Id,NewId,Title,LogoUrl
16TV,,,
9. TV,,,
AMC HD,AMC.hu,AMC,https://musor.tv/images/amc.svg
Animal Planet HD,ANIMAL.hu,Animal Planet,https://musor.tv/images/animal_planet.svg
Apostol TV,APOSTOL TV.hu,Apostol TV,https://musor.tv/images/apostoltv_small.png
ARENA4 HD,ARENA4.hu,Arena 4,https://musor.tv/images/arena4.svg
ATV HD,ATV.hu,ATV,
ATV Spirit HD,,ATV Spirit,
Auto.Motor.Sport.TV.hu,AUTO MOTOR SPORT.hu,,
AXN,AXN.hu,,
AXN HD,AXN.hu,,
BARTÓK RÁDIÓ,,,
BBC Earth HD,BBC EARTH.hu,BBC Earth,
BKTV,,,
Bloomberg TV,,,
Cartoon Network,CARTOON.hu,Cartoon Network,
Cartoonito,CARTOONITO.hu,Cartoonito,
CCTV4,,,
Centrum TV,,,
Channel 14,,,
Cinemax 2 HD,,,
Cinemax HD,,,
CNN International,,,
Comedy Central HD,,,
Comedy Central HD,,,
Cool HD,,,
d1 TV,,,
Da Vinci,,,
Deutsche Welle,,,
Dikh TV HD,,,
Discovery Channel,,,
Discovery Channel HD,,,
Disney Channel,,,
Duck TV,,,
Duna HD,,,
Duna World HD / M4 Sport+ HD,,,
EKT,,,
Epic Drama,,,
Eurosport 2 HD,EUROSPORT2.hu,Eurosport 2,
Eurosport1 HD,EUROSPORT.hu,Eurosport,
EWTN,,,
Fem3 HU,,,
Film Cafe HD,,,
Film Mánia HD,,,
Film+ HD,,,
Film4 HD,,,
Filmbox Extra HD,,,
Filmbox Family,,,
Filmbox,,,
Filmbox Premium,,,
Filmbox Stars,,,
Galaxy4,,,
Galaxy4 HD,,,
Hangulat,,,
HBO HD,HBOHD.hu,HBO,
HBO2 HD,HBO2.hu,HBO2,
HBO3 HD,HBO3.hu,HBO3,
Hegyvidek TV,,,
Heti TV,,,
HGTV HD,,,
Hír TV HD,,,
Hirschmilch Chillout Radio,,,
History HD,,,
Story4 HD,,,
HunyadiTV,,,
ID HD,,,
Infocsatorna I,,,
Infocsatorna II,,,
Izaura TV,,,
Jazz TV,,,
Jim Jam,JIMJAM.hu,Jim Jam,
Jocky TV,JOCKYTV.hu,Jocky TV,
Kispest TV,,,
Kölyök Klub HD,,,
KOSSUTH RÁDIÓ,,,
Life TV,,,
M1 HD,M1.hu,M1,
M2 HD,M2.hu,M2,
M4 Sport HD,M4 SPORT.hu,M4 Sport,
M5 HD,M5.hu,M5,
Magyar Mozi TV,,,
Magyar Sláger TV,,,
MATCH4 HD,,,
MAX4,,,
Mezzo HD,,,
Minimax,,,
Mozi klub,,,
Mozi+ HD,,,
Moziverzum HD,,,
MTV00s,,,
MTV European,,,
Muzsika TV,,,
Nat Geo HD,,,
NatGeo Wild HD,,,
Nick Jr,,,
Nickelodeon,,,
NickMusic EN,,,
Nicktoons HD,,,
OzoneTV,,,
Paramount Network HD,,,
PAX TV,,,
PETŐFI RÁDIÓ,,,
Prime HD,,,
Prime,,,
Pro7,,,
Promóció 1,,,
Promóció 2,,,
Promóció 3,,,
Radio1,,,
Rai Uno,,,
Rakosmente TV,,,
Regio Plusz TV,,,
RTL DE,,,
RTL Gold,,,
RTL HÁROM,,,
RTL HD,,,
RTL KETTŐ,,,
RTL Otthon HD,,,
SAT1,,,
Signal TV,,,
Sky News,,,
Sorozat Klub,,,
Sorozat +,,,
Spektrum HD,,,
Spektrum Home HD,,,
Spektrum Home,,,
Spíler1 HD,,,
Spíler2 HD,,,
Sport1 HD,,,
Sport2 HD,,,
Story4,,,
Story4 HD,,,
Super TV2 HD,,,
SuperONE HD,,,
SzilasTv,,,
TeenNick,,,
Fishing and Hunting,,,
Tilos Rádió,,,
TLC,,,
Travel Channel HD,,,
TV Paprika HD,,,
TV10,,,
TV13,,,
TV18,,,
TV2 Comedy,,,
TV2 HD,,,
TV2 Kids,,,
TV2Klub,,,
TV2 Séf,,,
TV2040,,,
TV4 HD,,,
TVE,,,
Ujbuda TV,,,
Viasat Explore HD,,,
Viasat Film,,,
Viasat History HD,,,
Viasat Nature HD,,,
Viasat 2,,,
Viasat3,,,
Viasat3 HD,,,
Viasat6,,,
VOD Promo,,,
Volgyhid TV,,,
WilliamsTV,,,
XV. TV,,,
Zenebutik,,,
Zuglo TV,,,
