AMC HD,AMC HU
Animal Planet HD,Animal Planet HU
ARÉNA4 HD,Arena 4 SPORT HU
ATV HD,ATV HU
ATV Spirit HD,ATV Spirit HU
,Auto Motor Sport HU
,AXN Black HU
AXN,AXN CE HU
,AXN White HU
BBC earth,BBC Earth HU
Cartoon Network,Cartoon Network HU
Cartoonito,Cartoonito HU
,CBS Reality HU
Cinemax HD,Cinemax HU
Cinemax 2 HD,Cinemax2 HU
,Comedy Central Family HU
Comedy Central,Comedy Central HU
Cool TV HD,Cool HU
Da Vinci,DaVinci Learning
,DIGI Animal World HU
Dikh TV HD,Dikh TV HU
,Direct One HU
Discovery Channel,Discovery HU
Disney Channel,Disney HU
DUNA HD,Duna HU
DUNA W/M4 Sport+ HD,Duna World / M4 Sport+ HU
Epic Drama HD,Epic Drama HD HU
Eurosport 2 HD,Eurosport 2 HU
Eurosport HD,Eurosport HU
,Extreme Sports Channel HU
Film4,Film 4 HU
Film Café HD,Film Cafe HU
Film Mánia HD,Film Mania HU
Film+ HD,Film+ HU
FilmBox Extra HD,FilmBox Extra HU
FilmBox Family,Filmbox Family HU
FilmBox Premium,Filmbox Premium HU
FilmBox Stars,FilmBox Stars HU
,Fishing&Hunting HU
Galaxy4,Galaxy4 HU
HBO 2 HD,HBO 2 HU
HBO 3 HD,HBO 3 HU
HBO HD,HBO HU
HGTV,HGTV
Hír TV HD,HirTV HU,,https://upload.wikimedia.org/wikipedia/commons/4/44/H%C3%ADr_TV.png
HISTORY HD,History Hungary HU
ID HD,ID Investigation Discovery HU
Izaura TV,Izaura TV HU
JimJam,JimJam HU
Jocky TV,Jocky TV HU
Kölyök Klub HD,Kolyokklub
Life TV HD,Life TV HU
,Love Nature HD HU
M1 HD,m1 HU
M2 HD,m2 Petofi HU
M4 Sport HD,M4 HU
M5 HD,m5 HU
Magyar Mozi TV,Magyar Mozi TV HU
MATCH4 HD,MATCH4 HD HU
MAX4,Max4 HU
Minimax,Minimax HU
Mozi+ HD,Mozi+ HU
Moziverzum,Moziverzum HU
MTV European,MTV Europe
Muzsika TV,Muzsika TV HU
Nat Geo Wild HD,Nat Geo Wild HU
Nat Geo HD,National Geographic HD HU
Nick Jr.,Nick Jr HU
Nickelodeon,Nickelodeon HU UKR
Nicktoons,Nicktoons HU
OzoneTV HD,Ozone TV HU
Paramount Network HD,Paramount Channel HU
Prime,Prime HU
RTL Gold,RTL GOLD HU
RTL HÁROM HD,RTL HAROM HU
RTL HD,RTL HU
RTL KETTŐ HD,RTL KETTO HU
RTL Otthon HD,RTL OTTHON HU
Sorozat+,Sorozat+ HU
Spektrum Home,Spektrum Home HU
Spektrum HD,Spektrum HU
Spíler2 TV HD,Spiler 2 HU
Spíler1 TV HD,Spiler TV HU
Sport 1 HD,Sport 1 HU
Sport 2 HD,Sport 2 HU
Story4,STORY 4 HU
Super TV2 HD,SuperTV2 HU
TeenNick,TeenNick HU
TLC,TLC
Travel HD,Travel Channel HU
TV Paprika HD,TV Paprika HU
TV2 Comedy,TV2 Comedy HU
TV2 HD,TV2 HU
TV2 Kids,TV2 Kids HU
TV2 Klub,TV2 Klub HU
TV2 Séf,TV2 Sef HU
TV4 HD,TV4 HU
VIASAT2,Viasat 2 HU
VIASAT3,VIASAT 3 HU
VIASAT6,VIASAT 6 HU
Viasat Explore,Viasat Explore HD HU
VIASAT FILM,Viasat Film HU
Viasat History HD,Viasat History HU
Viasat Nature HD,Viasat Nature HD HU
Zenebutik,Zenebutik HU
