Id,NewId,Title,LogoUrl
16TV,16TV,16TV,
9. TV,9. TV,9. TV,
AMC HD,AMC HD,AMC HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/amc.jpg
Animal Planet HD,Animal Planet HD,Animal Planet HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/animal_planet.jpg
Apostol TV,Apostol TV,Apostol TV,
ARÉNA4 HD,ARÉNA4 HD,ARÉNA4 HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/arena_4.jpg
ATV,ATV,ATV,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/atv.jpg
ATV HD,ATV HD,ATV HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/atv.jpg
ATV Spirit HD,ATV Spirit HD,ATV Spirit HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/atv_spirit.jpg
Auto.Motor.Sport.TV.hu,Auto.Motor.Sport.TV.hu,Auto.Motor.Sport.TV.hu,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/auto_motor_sport.jpg
AXN,AXN,AXN,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/axn.jpg
AXN HD,AXN HD,AXN HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/axn.jpg
BARTÓK RÁDIÓ,BARTÓK RÁDIÓ,BARTÓK RÁDIÓ,
BBC earth,BBC earth,BBC earth,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/bbc_earth.jpg
BKTV,BKTV,BKTV,
Bloomberg TV,Bloomberg TV,Bloomberg TV,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/bloomberg.jpg
Cartoon Network,Cartoon Network,Cartoon Network,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/cartoon_network.jpg
